"m","c","t","Stat"
-0.176304844990557,-0.493262897024485,10,"T"
0.239329468491468,0.250990127102137,100,"Q"
-0.176304844990557,-0.493262897024485,1000,"T"
0.239329468491468,0.250990127102137,10,"Q"
-0.176304844990557,-0.493262897024485,100,"T"
0.239329468491468,0.250990127102137,1000,"Q"
0.593454825266401,0.683498650007947,10,"T"
1.43575018463855,3.2520894671707,100,"Q"
0.593454825266401,0.683498650007947,1000,"T"
1.43575018463855,3.2520894671707,10,"Q"
0.593454825266401,0.683498650007947,100,"T"
1.43575018463855,3.2520894671707,1000,"Q"
0.979683920719601,1.17130124856062,10,"T"
0.437624737818466,1.1494710941452,100,"Q"
0.979683920719601,1.17130124856062,1000,"T"
0.437624737818466,1.1494710941452,10,"Q"
0.979683920719601,1.17130124856062,100,"T"
0.437624737818466,1.1494710941452,1000,"Q"
