"t","rms","rmsQ","dp","logrms","logrmsQ","logdp"
"10",0.0608835924408604,0.518927518604482,2,-1.21549972990351,-0.284893298159984,0.301029995663981
"100",0.593414849693978,1.2091142739447,2,-0.226641590038962,0.0824673481712169,0.301029995663981
"1000",28.239079112227,2.00118371102556,2,1.45085053009226,0.301286959212119,0.301029995663981
"10",0.0500883429393697,0.0316673665005178,1.5,-1.30026333573296,-1.49938805162172,0.176091259055681
"100",4.27193299325704,0.26900223839611,1.5,0.630624432015129,-0.570244106172186,0.176091259055681
"1000",51.4711369349156,0.814414366677575,1.5,1.71156376139388,-0.0891545737674332,0.176091259055681
"10",0.0415541214819984,0.36268637458737,1,-1.38138589490947,-0.440468759701261,0
"100",1.1028353365047,0.840635557287373,1,0.0425106731057844,-0.075392244110379,0
"1000",14.6396661359178,1.95197243609028,1,1.16553117255694,0.290473680677798,0
"10",0.291738336359544,0.0711455739744169,0.8,-0.535006497942218,-1.14785211256181,-0.0969100130080564
"100",4.64888394938799,0.338937342198415,0.8,0.667348704976487,-0.469880580418143,-0.0969100130080564
"1000",35.94286507994,0.663089169154812,0.8,1.55561269266206,-0.178428065761215,-0.0969100130080564
"10",0.0612080572262411,0.228706365287894,0.5,-1.21319140500193,-0.640721748069515,-0.301029995663981
"100",0.768333453518896,0.541578577312789,0.5,-0.11445025706004,-0.266338522939697,-0.301029995663981
"1000",8.91502294386038,1.45728765559913,0.5,0.950122465220754,0.163545286093132,-0.301029995663981
"10",0.0661937830998255,0.193668915163072,0.4,-1.17918279745194,-0.712940080140453,-0.397940008672038
"100",0.656221711179393,0.467156712783378,0.4,-0.182949405023693,-0.330537406200183,-0.397940008672038
"1000",7.73665171149297,1.29159228551535,0.4,0.88855304623315,0.11112544237786,-0.397940008672038
"10",0.375929235020094,0.0919734296300416,0.3,-0.424893899042235,-1.03633761865128,-0.522878745280338
"100",2.62458586180502,0.194663784301502,0.3,0.419060785028782,-0.710714838110105,-0.522878745280338
"1000",18.2286400888842,0.316500362299707,0.3,1.26075427019512,-0.499625788507058,-0.522878745280338
"10",0.0417287069819926,0.115688236874394,0.2,-1.37956507225656,-0.93671079766238,-0.698970004336019
"100",0.414695145830657,0.304661734628623,0.2,-0.382271048193489,-0.516182089535868,-0.698970004336019
"1000",5.37645778623762,0.89780887896782,0.2,0.730496240248986,-0.0468161039158078,-0.698970004336019
