"t","rms","rmsQ","dp","logrms","logrmsQ","logdp"
"3000",0.0600782302787303,0.00417664263240692,2,-1.22128286880518,-2.37917268284197,0.301029995663981
"3000",0.0766248473140967,0.00241406105980035,1.5,-1.11563037786617,-2.6172517493178,0.176091259055681
"3000",0.0385875204174765,0.0017451278806713,1,-1.41355312771535,-2.75817274301141,0
"3000",0.0319942468727715,0.000492939370670381,0.8,-1.49492810843126,-3.30720649370964,-0.0969100130080564
"3000",0.0238144101292382,0.000846331609809207,0.5,-1.62316017127142,-3.07245943827026,-0.301029995663981
"3000",0.0141340195676739,0.00117725909862646,0.4,-1.84973431176709,-2.92912794436114,-0.397940008672038
"3000",0.0159520415862,0.000831211418226163,0.3,-1.79718372684626,-3.08028849957196,-0.522878745280338
"3000",0.00794145883770185,0.00120854208766598,0.2,-2.10009971080115,-2.91773822062016,-0.698970004336019
