"t","rms","rmsQ","rmsSr","rmsSt","dp","logrms","logrmsQ","logrmsSr","logrmsSt","logdp"
"2000",0.263959316295818,0.0147150470744513,0.00156021428314829,0.00198534554535241,2,-0.578463005212695,-1.83223834422412,-2.80681575062124,-2.70216389425125,0.301029995663981
"2000",0.0579969053706325,0.0099687509666712,0.000613788592212459,0.000575041180828751,1.5,-1.23659517913213,-2.00135925314913,-3.2119811875647,-3.24030105276032,0.176091259055681
"2000",0.0463636263894307,0.00876116044532067,0.000626409173644612,0.000645100371231275,1,-1.33382260249004,-2.05743836624959,-3.20314189074248,-3.19037270818555,0
"2000",0.063682313933097,0.00934118071218782,0.000505484498886608,0.000695501268279738,0.8,-1.19598116464668,-2.02959822608475,-3.29629215787957,-3.15770207371451,-0.0969100130080564
"2000",0.01702624776316,0.0077872776630951,0.000238239314450058,0.000459665707194156,0.5,-1.76888105111572,-2.10861433982804,-3.62298656930221,-3.33755789505734,-0.301029995663981
"2000",0.0191959183264719,0.00751113508233141,0.000193770767344234,0.000350965354228972,0.4,-1.71679110654322,-2.12429442747744,-3.71271174090075,-3.45473575307781,-0.397940008672038
"2000",0.0268071912176322,0.00786898204342658,0.000215319924816325,0.000408825840377512,0.3,-1.57174868779208,-2.10408144572438,-3.66691578049977,-3.38846166184914,-0.522878745280338
"2000",0.0278781110197272,0.00824025441090739,0.000225127716769957,0.000454747859656134,0.2,-1.55473665673981,-2.08405937961993,-3.64757103321258,-3.34222933633643,-0.698970004336019
