"t","rms","dp","logrms","logdp"
"80",2859759462.07341,1,9.45632950561597,0
"90",2853441928.58363,1,9.45536903849272,0
"10",2810294287.80094,0.8,9.44875180064385,-0.0969100130080564
"100",3455219210.36686,0.8,9.53847560564153,-0.0969100130080564
"120",3522164398.20864,0.8,9.54680962294545,-0.0969100130080564
"150",3510308282.98028,0.8,9.54534525883561,-0.0969100130080564
"170",4002615390.41481,0.8,9.60234386094063,-0.0969100130080564
"20",2192290908.03254,0.8,9.34089818273684,-0.0969100130080564
"200",4013703347.00981,0.8,9.60354527061344,-0.0969100130080564
"220",4157637476.14183,0.8,9.61884661847909,-0.0969100130080564
"250",4593163052.38643,0.8,9.66211186268219,-0.0969100130080564
"270",5100796028.96702,0.8,9.70763795727649,-0.0969100130080564
"30",1942720438.29088,0.8,9.28841030917264,-0.0969100130080564
"300",3891945829.98139,0.8,9.59016678691392,-0.0969100130080564
"40",3184531031.93188,0.8,9.5030454852616,-0.0969100130080564
"400",4159320360.44566,0.8,9.6190223720157,-0.0969100130080564
"50",4024349977.91038,0.8,9.6046957421438,-0.0969100130080564
"60",4010144718.79026,0.8,9.60316004579673,-0.0969100130080564
"70",4384256400.64608,0.8,9.64189594468471,-0.0969100130080564
"80",4591854188.04694,0.8,9.66198808881238,-0.0969100130080564
"90",3805263198.98805,0.8,9.58038470103168,-0.0969100130080564
"10",2197515530.79937,0.5,9.34193195310491,-0.301029995663981
"100",2782810851.92675,0.5,9.44448368827578,-0.301029995663981
"120",3349626946.35534,0.5,9.52499644161567,-0.301029995663981
"150",3803227206.40879,0.5,9.58015227112342,-0.301029995663981
"170",4178227372.50719,0.5,9.62099206990431,-0.301029995663981
"20",2505872405.70637,0.5,9.39895895376571,-0.301029995663981
"200",4622595950.28155,0.5,9.66488593448677,-0.301029995663981
"220",4584722541.55456,0.5,9.66131305814826,-0.301029995663981
"250",4881656633.19025,0.5,9.68856722867496,-0.301029995663981
"270",4717567456.58873,0.5,9.6737181188666,-0.301029995663981
"30",2654935776.94973,0.5,9.42405401993587,-0.301029995663981
"300",4793821876.62136,0.5,9.68068189297723,-0.301029995663981
"40",2596387190.5659,0.5,9.41436945784613,-0.301029995663981
"400",4115806327.99301,0.5,9.6144549305552,-0.301029995663981
"50",2865935748.87034,0.5,9.45726644976549,-0.301029995663981
"60",2560417138.91941,0.5,9.40831072561374,-0.301029995663981
"70",2731651483.89102,0.5,9.43642528934402,-0.301029995663981
"80",3189531388.17423,0.5,9.50372688039894,-0.301029995663981
"90",2628354298.26969,0.5,9.41968390708725,-0.301029995663981
"10",2190525888.04192,0.4,9.3405483901174,-0.397940008672038
"100",2176489931.48132,0.4,9.33775666243658,-0.397940008672038
"120",2440226247.76636,0.4,9.38743009420811,-0.397940008672038
"150",2906921154.86716,0.4,9.46343325245481,-0.397940008672038
"170",2925677229.04838,0.4,9.46622641154481,-0.397940008672038
"20",2511457551.42188,0.4,9.39992584212566,-0.397940008672038
"200",2991889833.56565,0.4,9.47594559803087,-0.397940008672038
"220",3159330165.22374,0.4,9.4995950141426,-0.397940008672038
"250",3071277579.53589,0.4,9.48731906939419,-0.397940008672038
"270",3116130122.51992,0.4,9.49361558453084,-0.397940008672038
"30",2675659610.52929,0.4,9.42743086295542,-0.397940008672038
"300",3115796899.05187,0.4,9.49356914075412,-0.397940008672038
"40",2757406555.9875,0.4,9.44050080382968,-0.397940008672038
"400",4365582184.85608,0.4,9.64004216850221,-0.397940008672038
"50",2749347731.34786,0.4,9.43922967191148,-0.397940008672038
"60",2779555675.02524,0.4,9.44397537746221,-0.397940008672038
"70",2749100330.3737,0.4,9.439190590019,-0.397940008672038
"80",2367173874.26585,0.4,9.37423015901098,-0.397940008672038
"90",2207735545.48132,0.4,9.34394705002788,-0.397940008672038
"10",2403381424.32729,0.3,9.38082270019852,-0.522878745280338
"100",3237773641.43246,0.3,9.5102464831718,-0.522878745280338
"120",2881380428.81046,0.3,9.45960060198947,-0.522878745280338
"150",2640593704.66718,0.3,9.42170158356389,-0.522878745280338
"170",2967626341.39572,0.3,9.47240921733278,-0.522878745280338
"20",2728785424.04882,0.3,9.43596938659867,-0.522878745280338
"200",3537198958.58627,0.3,9.54865948847916,-0.522878745280338
"220",3797196492.47275,0.3,9.57946307103727,-0.522878745280338
"250",4026820317.2379,0.3,9.60496225116863,-0.522878745280338
"270",4309165977.62661,0.3,9.63439322228032,-0.522878745280338
"30",2740055173.91293,0.3,9.43775930788779,-0.522878745280338
"300",4130877177.01437,0.3,9.61604228233125,-0.522878745280338
"40",2786647053.08235,0.3,9.4450819659844,-0.522878745280338
"400",4428575046.21507,0.3,9.64626400858951,-0.522878745280338
"50",2792430668.60498,0.3,9.44598239911403,-0.522878745280338
"60",2955563550.97769,0.3,9.47064030205141,-0.522878745280338
