"t","rms","rmsQ","rmsS","dp","logrms","logrmsQ","logrmsS","logdp"
"20000",0.0982597075626782,0.00696699528154213,0.00982597075626785,2,-1.00762453273228,-2.15695448359503,-2.00762453273228,0.301029995663981
"20000",0.201531463884866,0.00349310357391202,0.0201531463884866,1.5,-0.695657140466614,-2.45678853691844,-1.69565714046661,0.176091259055681
"20000",0.0256520392747318,0.00640367404747846,0.0025652039274732,1,-1.59087810382473,-2.19357078215314,-2.59087810382472,0
"20000",0.13170037472512,0.00251308442686899,0.0131700374725121,0.8,-0.880412989344818,-2.59979292107419,-1.88041298934482,-0.0969100130080564
"20000",0.0134189963384639,0.00511688381930291,0.00134189963384641,0.5,-1.87227996561019,-2.29099444372917,-2.87227996561018,-0.301029995663981
"20000",0.0108747293921707,0.00458126512184434,0.00108747293921709,0.4,-1.96358154126521,-2.33901457449279,-2.9635815412652,-0.397940008672038
"20000",0.0649327604558011,0.00124367074890087,0.00649327604558013,0.3,-1.18753613377843,-2.90529458014503,-2.18753613377843,-0.522878745280338
"20000",0.00573566815475915,0.00324601371339237,0.000573566815475935,0.2,-2.24141598333851,-2.4886496497476,-3.24141598333849,-0.698970004336019
